  N       EV_0       EV_1       EV_2       EV_3       EV_4       EV_5       EV_6       EV_7       EV_8       EV_9      EV_10      EV_11      EV_12      EV_13      EV_14      EV_15      EV_16      EV_17      EV_18      EV_19      EV_20      EV_21      EV_22      EV_23      EV_24      EV_25      EV_26      EV_27      EV_28      EV_29      EV_30      EV_31      EV_32      EV_33      EV_34      EV_35      EV_36      EV_37      EV_38      EV_39      EV_40      EV_41      EV_42      EV_43      EV_44      EV_45      EV_46      EV_47      EV_48      EV_49      EV_50      EV_51      EV_52      EV_53      EV_54      EV_55      EV_56      EV_57      EV_58      EV_59      EV_60      EV_61      EV_62      EV_63      EV_64      EV_65      EV_66      EV_67      EV_68      EV_69      EV_70      EV_71      EV_72      EV_73      EV_74      EV_75      EV_76      EV_77      EV_78      EV_79      EV_80      EV_81      EV_82      EV_83      EV_84      EV_85      EV_86      EV_87      EV_88      EV_89      EV_90      EV_91      EV_92      EV_93      EV_94      EV_95      EV_96      EV_97      EV_98      EV_99     EV_100     EV_101     EV_102     EV_103     EV_104     EV_105     EV_106     EV_107     EV_108     EV_109     EV_110     EV_111     EV_112     EV_113     EV_114     EV_115     EV_116     EV_117     EV_118     EV_119     EV_120     EV_121     EV_122     EV_123     EV_124     EV_125     EV_126     EV_127     EV_128     EV_129     EV_130     EV_131     EV_132     EV_133     EV_134     EV_135     EV_136     EV_137     EV_138     EV_139     EV_140     EV_141     EV_142     EV_143     EV_144     EV_145     EV_146     EV_147     EV_148     EV_149     EV_150     EV_151     EV_152     EV_153     EV_154     EV_155     EV_156     EV_157     EV_158     EV_159     EV_160     EV_161      EV_162      EV_163      EV_164      EV_165      EV_166      EV_167      EV_168      EV_169      EV_170      EV_171      EV_172      EV_173      EV_174      EV_175      EV_176      EV_177      EV_178      EV_179      EV_180      EV_181      EV_182      EV_183      EV_184      EV_185      EV_186      EV_187      EV_188      EV_189      EV_190      EV_191      EV_192      EV_193      EV_194      EV_195      EV_196      EV_197       EV_198      EV_199
 11  -0.21251   -0.212502  -0.188377  -0.188371  -0.188053  -0.188052  -0.178467  -0.178435  -0.178382  -0.17835   -0.175754  -0.175676  -0.175526  -0.17547   -0.174954  -0.174952  -0.173622  -0.173622  -0.17356   -0.17355   -0.173046  -0.173029  -0.172992  -0.172907  -0.170067  -0.170063  -0.170062  -0.170058  -0.164482  -0.164471  -0.164429  -0.164387  -0.16436   -0.164237  -0.163421  -0.163251  -0.163191  -0.16294   -0.162606  -0.155442  -0.15516   -0.155099  -0.154832  -0.154461  -0.154449  -0.154032  -0.153954  -0.153494  -0.153274  -0.153237  -0.153158  -0.153054  -0.153053  -0.152978  -0.152816  -0.152811  -0.152803  -0.152763  -0.152554  -0.15237   -0.152349  -0.152308  -0.15228   -0.150295  -0.149502  -0.149476  -0.149303  -0.149127  -0.149091  -0.147855  -0.147211  -0.14666   -0.146327  -0.146273  -0.145874  -0.145795  -0.145716  -0.145675  -0.145449  -0.145407  -0.14511   -0.144639  -0.144498  -0.144326  -0.144214  -0.143972  -0.14387   -0.143769  -0.143582  -0.143266  -0.143168  -0.142827  -0.142453  -0.142353  -0.142226  -0.142013  -0.141892  -0.141828  -0.141702  -0.141659  -0.140984  -0.140847  -0.140821  -0.140636  -0.140534  -0.140527  -0.140359  -0.140139  -0.140039  -0.140022  -0.139975  -0.13993   -0.139849  -0.139753  -0.139336  -0.139148  -0.139142  -0.139001  -0.138703  -0.138619  -0.138549  -0.1381    -0.137944  -0.137941  -0.137869  -0.137766  -0.137722  -0.137674  -0.136988  -0.136614  -0.136601  -0.136444  -0.135455  -0.13459   -0.134577  -0.134258  -0.133392  -0.13336   -0.133328  -0.133299  -0.131108  -0.131084  -0.131003  -0.130977  -0.129881  -0.129877  -0.129741  -0.129724  -0.129011  -0.128949  -0.12894   -0.128865  -0.127495  -0.127476  -0.127268  -0.127251  -0.125591  -0.125516  -0.125371  -0.125252  -0.124826  -0.124824  -0.123484   -0.123482   -0.117751   -0.117741   -0.11774    -0.11773    -0.115031   -0.114919   -0.114722   -0.114564   -0.113771   -0.113734   -0.111194   -0.111184   -0.111178   -0.111169   -0.106741   -0.106735   -0.106733   -0.106729   -0.105486   -0.10547    -0.105439   -0.10543    -0.103643   -0.103639   -0.103596   -0.103594   -0.100002   -0.100001   -0.0999497  -0.0999496  -0.0899286  -0.0899285  -0.0895705  -0.0895705  -0.0653534   -0.0653534
 12  -0.210423  -0.210419  -0.187665  -0.187658  -0.187424  -0.187422  -0.177798  -0.177769  -0.177727  -0.177702  -0.174691  -0.174611  -0.174461  -0.1744    -0.173662  -0.173661  -0.172297  -0.172297  -0.172175  -0.172167  -0.171549  -0.171533  -0.171495  -0.171443  -0.168662  -0.168659  -0.168657  -0.168653  -0.165011  -0.164935  -0.163344  -0.163268  -0.163221  -0.163191  -0.162002  -0.161902  -0.16189   -0.161822  -0.161787  -0.155814  -0.155772  -0.155522  -0.155363  -0.155358  -0.154848  -0.153948  -0.153873  -0.153589  -0.153533  -0.153497  -0.153247  -0.153245  -0.153219  -0.153148  -0.152795  -0.152757  -0.152726  -0.152723  -0.152655  -0.152581  -0.15258   -0.152521  -0.152043  -0.149924  -0.149454  -0.149311  -0.14922   -0.149117  -0.149105  -0.147735  -0.147037  -0.146649  -0.1466    -0.146517  -0.146274  -0.146257  -0.145724  -0.145684  -0.145674  -0.145346  -0.145319  -0.144737  -0.144507  -0.144416  -0.144244  -0.144159  -0.144037  -0.143784  -0.143755  -0.143712  -0.143349  -0.142561  -0.142398  -0.142071  -0.141989  -0.141987  -0.141936  -0.14163   -0.141569  -0.141553  -0.140792  -0.140749  -0.140749  -0.140635  -0.140579  -0.14055   -0.140296  -0.140254  -0.140131  -0.140026  -0.139975  -0.139888  -0.139644  -0.139524  -0.139053  -0.138978  -0.138637  -0.138593  -0.138498  -0.138366  -0.138296  -0.138008  -0.137975  -0.137939  -0.137888  -0.137849  -0.137789  -0.137621  -0.137015  -0.136268  -0.136244  -0.136194  -0.135559  -0.134405  -0.133852  -0.133845  -0.133285  -0.133237  -0.133215  -0.13317   -0.131096  -0.131066  -0.131004  -0.130974  -0.130111  -0.130082  -0.129979  -0.129953  -0.128984  -0.128926  -0.128905  -0.128841  -0.127256  -0.127242  -0.127081  -0.12707   -0.126169  -0.126139  -0.125964  -0.125804  -0.124097  -0.124097  -0.122956   -0.122956   -0.118905   -0.118897   -0.118894   -0.118885   -0.116266   -0.116167   -0.116154   -0.116048   -0.113326   -0.113322   -0.112648   -0.112639   -0.112633   -0.112625   -0.108298   -0.108295   -0.108293   -0.108291   -0.107032   -0.10703    -0.107002   -0.106996   -0.104879   -0.104876   -0.104837   -0.104836   -0.100785   -0.100785   -0.100742   -0.100742   -0.090623   -0.090623   -0.0903335  -0.0903335  -0.0674563   -0.0674563
 13  -0.208527  -0.208525  -0.186981  -0.186975  -0.186815  -0.186812  -0.177187  -0.177164  -0.177129  -0.177111  -0.17372   -0.173641  -0.173499  -0.173436  -0.172455  -0.172455  -0.171097  -0.171096  -0.170895  -0.170887  -0.170175  -0.170128  -0.170105  -0.170087  -0.167401  -0.167398  -0.167395  -0.167392  -0.16558   -0.165541  -0.162395  -0.162253  -0.1622    -0.162169  -0.161238  -0.160755  -0.160672  -0.160615  -0.160612  -0.156378  -0.156347  -0.156161  -0.156157  -0.155578  -0.154878  -0.153896  -0.153893  -0.153803  -0.153795  -0.153505  -0.153493  -0.153417  -0.153278  -0.153192  -0.15284   -0.152735  -0.152709  -0.152659  -0.152641  -0.152627  -0.152617  -0.15252   -0.151795  -0.149608  -0.149381  -0.149265  -0.149085  -0.149077  -0.148977  -0.147676  -0.147394  -0.147375  -0.146959  -0.146447  -0.146336  -0.146334  -0.14575   -0.145688  -0.145621  -0.14562   -0.145301  -0.145062  -0.144628  -0.1446    -0.144464  -0.144188  -0.14406   -0.143987  -0.143972  -0.143443  -0.143332  -0.142533  -0.14235   -0.142177  -0.142093  -0.141666  -0.141551  -0.141497  -0.141475  -0.141337  -0.140793  -0.140774  -0.140685  -0.140647  -0.140557  -0.14046   -0.140384  -0.140301  -0.140087  -0.139982  -0.139933  -0.139863  -0.139399  -0.139307  -0.138837  -0.138824  -0.138637  -0.138301  -0.138165  -0.138143  -0.138013  -0.137967  -0.137952  -0.137944  -0.137808  -0.137737  -0.13769   -0.13755   -0.137029  -0.135989  -0.13595   -0.135908  -0.135609  -0.134533  -0.133254  -0.133212  -0.133132  -0.133125  -0.133085  -0.133065  -0.131112  -0.131084  -0.131041  -0.131015  -0.130361  -0.130291  -0.130249  -0.13019   -0.128998  -0.128951  -0.128905  -0.128858  -0.127055  -0.127046  -0.126931  -0.126924  -0.126666  -0.126641  -0.126459  -0.126267  -0.123475  -0.123475  -0.122516   -0.122516   -0.119916   -0.11991    -0.119904   -0.119895   -0.117512   -0.117462   -0.117425   -0.117372   -0.11395    -0.113942   -0.113936   -0.113928   -0.112868   -0.112867   -0.109751   -0.109751   -0.109748   -0.109748   -0.108453   -0.108433   -0.108432   -0.10841    -0.105998   -0.105996   -0.105965   -0.105964   -0.101509   -0.101509   -0.101476   -0.101476   -0.0913073  -0.0913073  -0.0910744  -0.0910744  -0.0693742   -0.0693742
 14  -0.206793  -0.206792  -0.186323  -0.186318  -0.186225  -0.186222  -0.17662   -0.176603  -0.176578  -0.176565  -0.172829  -0.172755  -0.172625  -0.172563  -0.171329  -0.171328  -0.170008  -0.170004  -0.169704  -0.169698  -0.168898  -0.168825  -0.168821  -0.168811  -0.166265  -0.166261  -0.166255  -0.166254  -0.166062  -0.166036  -0.161622  -0.16136   -0.1613    -0.16127   -0.160611  -0.159654  -0.159574  -0.159544  -0.159536  -0.156868  -0.156863  -0.156847  -0.156828  -0.155611  -0.15491   -0.154152  -0.154053  -0.15385   -0.153747  -0.153736  -0.153642  -0.153483  -0.153278  -0.153199  -0.152882  -0.152693  -0.152671  -0.152666  -0.152636  -0.152524  -0.152504  -0.15238   -0.151573  -0.149339  -0.149277  -0.149183  -0.149039  -0.149012  -0.148763  -0.148089  -0.148088  -0.147656  -0.146956  -0.14645   -0.146433  -0.146385  -0.145992  -0.14571   -0.14567   -0.145662  -0.145354  -0.145322  -0.144723  -0.144692  -0.144677  -0.14455   -0.144175  -0.143919  -0.14391   -0.143216  -0.143141  -0.142636  -0.142334  -0.142194  -0.142179  -0.141439  -0.141437  -0.141432  -0.141258  -0.141028  -0.140902  -0.140806  -0.140751  -0.140668  -0.140624  -0.140275  -0.140241  -0.140234  -0.140015  -0.139938  -0.139898  -0.139847  -0.139179  -0.139106  -0.138739  -0.138657  -0.13865   -0.138243  -0.138155  -0.13815   -0.138059  -0.137881  -0.137819  -0.137816  -0.137571  -0.137499  -0.137285  -0.13726   -0.137026  -0.135827  -0.135666  -0.135615  -0.135594  -0.134636  -0.133168  -0.133065  -0.133025  -0.132981  -0.132565  -0.132559  -0.131165  -0.131151  -0.131124  -0.131113  -0.1306    -0.130519  -0.13047   -0.130403  -0.129041  -0.129005  -0.128937  -0.128903  -0.127116  -0.127029  -0.126886  -0.126881  -0.126878  -0.126808  -0.126799  -0.12666   -0.122946  -0.122945  -0.122153   -0.122153   -0.120808   -0.120805   -0.120794   -0.120787   -0.118661   -0.118633   -0.118593   -0.118564   -0.115125   -0.115117   -0.115111   -0.115104   -0.112511   -0.11251    -0.111115   -0.111114   -0.111112   -0.111111   -0.109744   -0.109731   -0.109704   -0.109689   -0.107016   -0.107015   -0.106993   -0.106992   -0.102186   -0.102186   -0.102163   -0.102163   -0.09198    -0.09198    -0.0917962  -0.0917962  -0.0711365   -0.0711365
 15  -0.205198  -0.205198  -0.185687  -0.185683  -0.185654  -0.185651  -0.176089  -0.176077  -0.176062  -0.176054  -0.172011  -0.171942  -0.171826  -0.171767  -0.170277  -0.170273  -0.169016  -0.16901   -0.168595  -0.16859   -0.16771   -0.16765   -0.167616  -0.167602  -0.166463  -0.166424  -0.165229  -0.165228  -0.165221  -0.165221  -0.161016  -0.160569  -0.160503  -0.160476  -0.159982  -0.158687  -0.158589  -0.158584  -0.158574  -0.157469  -0.157452  -0.157269  -0.157224  -0.155624  -0.154938  -0.154374  -0.154282  -0.153957  -0.153857  -0.153799  -0.153701  -0.153469  -0.153254  -0.153183  -0.152888  -0.152679  -0.152604  -0.152581  -0.152562  -0.152389  -0.152379  -0.152227  -0.151373  -0.149152  -0.149115  -0.149078  -0.149001  -0.148927  -0.148722  -0.148683  -0.14857   -0.147666  -0.146976  -0.146622  -0.146548  -0.146364  -0.14635   -0.145914  -0.145731  -0.145548  -0.145544  -0.145346  -0.144854  -0.144852  -0.14484   -0.144542  -0.144343  -0.143868  -0.143834  -0.14306   -0.14287   -0.142712  -0.142502  -0.142288  -0.14204   -0.14142   -0.14137   -0.141309  -0.141073  -0.140999  -0.140881  -0.140865  -0.140864  -0.140644  -0.140523  -0.14014   -0.140064  -0.140046  -0.139942  -0.139872  -0.139861  -0.139831  -0.138996  -0.138925  -0.138723  -0.138602  -0.138527  -0.138284  -0.138229  -0.138203  -0.138151  -0.137821  -0.137602  -0.137568  -0.137451  -0.137442  -0.137007  -0.136769  -0.136748  -0.135706  -0.135588  -0.135428  -0.135302  -0.134701  -0.133137  -0.133008  -0.132937  -0.132919  -0.132052  -0.132046  -0.131293  -0.131277  -0.131276  -0.131269  -0.130791  -0.130754  -0.130585  -0.13055   -0.129104  -0.129076  -0.12899   -0.128965  -0.127502  -0.127348  -0.127226  -0.126998  -0.126743  -0.12674   -0.126705  -0.126701  -0.122497  -0.122496  -0.121862   -0.121862   -0.121598   -0.121598   -0.121584   -0.121579   -0.119714   -0.119699   -0.119659   -0.119644   -0.116191   -0.116185   -0.116179   -0.116173   -0.112419   -0.112416   -0.112396   -0.112394   -0.112237   -0.112236   -0.11092    -0.110913   -0.11084    -0.110831   -0.107944   -0.107943   -0.107932   -0.107932   -0.102823   -0.102823   -0.10281    -0.10281    -0.0926403  -0.0926403  -0.0925007  -0.0925007  -0.0727665   -0.0727665
 16  -0.203722  -0.203722  -0.185099  -0.185097  -0.185071  -0.185068  -0.175587  -0.175581  -0.175575  -0.175572  -0.171257  -0.171196  -0.171092  -0.171039  -0.169294  -0.169289  -0.168111  -0.168102  -0.167557  -0.167553  -0.166871  -0.16681   -0.166603  -0.166555  -0.166435  -0.166356  -0.164286  -0.164286  -0.16428   -0.164275  -0.160542  -0.159867  -0.159792  -0.159773  -0.15936   -0.158078  -0.158038  -0.157923  -0.157719  -0.1577    -0.157695  -0.157511  -0.157406  -0.15562   -0.154962  -0.154569  -0.154492  -0.154133  -0.154049  -0.153763  -0.153661  -0.153458  -0.15321   -0.153152  -0.152872  -0.152661  -0.152503  -0.152475  -0.152442  -0.152248  -0.152238  -0.152065  -0.151191  -0.149341  -0.149306  -0.149013  -0.148933  -0.148924  -0.148828  -0.148817  -0.148396  -0.147702  -0.147     -0.146844  -0.146737  -0.146665  -0.146343  -0.14614   -0.145946  -0.145568  -0.145402  -0.14536   -0.144999  -0.144981  -0.144963  -0.14449   -0.144379  -0.143844  -0.143784  -0.142924  -0.142754  -0.142674  -0.142642  -0.142374  -0.14193   -0.141431  -0.141282  -0.141267  -0.141075  -0.141008  -0.14091   -0.140904  -0.140885  -0.14061   -0.140281  -0.140038  -0.139951  -0.139951  -0.139855  -0.139853  -0.139793  -0.139623  -0.138849  -0.138764  -0.138706  -0.138537  -0.138452  -0.138338  -0.138302  -0.138248  -0.138227  -0.137777  -0.137393  -0.137377  -0.137332  -0.13733   -0.136973  -0.136278  -0.136256  -0.13562   -0.135537  -0.135265  -0.135032  -0.1347    -0.133128  -0.132971  -0.132877  -0.13286   -0.131701  -0.13168   -0.131511  -0.131471  -0.131441  -0.131436  -0.130922  -0.130919  -0.130608  -0.130592  -0.129177  -0.129156  -0.129054  -0.129035  -0.127834  -0.127613  -0.127523  -0.127292  -0.126621  -0.12662   -0.126619  -0.126615  -0.122315  -0.122309  -0.12229    -0.122288   -0.122125   -0.122125   -0.121641   -0.121641   -0.120676   -0.120668   -0.120621   -0.120613   -0.117166   -0.11716    -0.117154   -0.117149   -0.113599   -0.113599   -0.113596   -0.113595   -0.112275   -0.112272   -0.111993   -0.11199    -0.111684   -0.111681   -0.108794   -0.108793   -0.108793   -0.108792   -0.103428   -0.103428   -0.103424   -0.103424   -0.0932874  -0.0932874  -0.0931894  -0.0931894  -0.0742829   -0.0742829
 17  -0.20235   -0.20235   -0.184561  -0.18456   -0.184472  -0.18447   -0.175117  -0.175114  -0.175107  -0.175102  -0.170559  -0.170507  -0.170416  -0.17037   -0.168377  -0.16837   -0.167286  -0.167271  -0.167057  -0.16705   -0.166586  -0.166583  -0.165574  -0.165535  -0.165379  -0.165355  -0.163422  -0.16342   -0.163416  -0.163406  -0.16016   -0.15924   -0.159157  -0.159152  -0.158768  -0.158478  -0.158462  -0.157993  -0.157937  -0.156895  -0.156895  -0.156853  -0.156844  -0.155602  -0.154982  -0.15474   -0.154683  -0.154285  -0.154215  -0.153722  -0.153625  -0.15345   -0.153152  -0.153111  -0.152843  -0.152625  -0.15243   -0.152321  -0.152291  -0.152114  -0.152072  -0.151896  -0.151023  -0.149828  -0.149798  -0.148865  -0.148799  -0.148779  -0.148719  -0.148718  -0.148236  -0.147768  -0.147096  -0.147087  -0.147015  -0.146776  -0.146362  -0.146349  -0.146178  -0.145547  -0.145363  -0.145256  -0.145092  -0.14508   -0.145041  -0.144615  -0.144214  -0.143825  -0.143758  -0.142858  -0.14284   -0.142742  -0.142461  -0.142453  -0.141855  -0.141456  -0.141297  -0.141223  -0.141078  -0.141037  -0.140937  -0.140875  -0.140839  -0.140575  -0.140113  -0.139933  -0.139927  -0.139914  -0.139846  -0.139717  -0.139715  -0.139375  -0.138736  -0.138624  -0.138622  -0.13849   -0.138437  -0.138391  -0.138367  -0.13828   -0.138255  -0.137735  -0.137299  -0.137209  -0.137201  -0.137116  -0.136927  -0.135822  -0.135807  -0.135563  -0.135458  -0.135203  -0.134782  -0.134609  -0.133137  -0.132954  -0.132853  -0.132798  -0.131805  -0.131776  -0.131767  -0.131723  -0.131351  -0.131346  -0.131027  -0.131021  -0.130493  -0.130487  -0.129254  -0.129238  -0.129123  -0.129106  -0.128124  -0.127834  -0.12778   -0.127552  -0.126545  -0.126542  -0.126518  -0.126518  -0.122957  -0.122946  -0.122925   -0.122925   -0.121918   -0.121916   -0.121732   -0.12173    -0.121461   -0.121458   -0.121252   -0.121251   -0.118062   -0.118056   -0.118051   -0.118047   -0.114724   -0.114722   -0.114721   -0.11472    -0.113025   -0.113021   -0.112974   -0.112973   -0.111773   -0.111772   -0.109586   -0.109585   -0.109573   -0.109572   -0.104009   -0.104009   -0.104004   -0.104004   -0.0939211  -0.0939211  -0.0938631  -0.0938631  -0.0757009   -0.0757009
 18  -0.201069  -0.201069  -0.184039  -0.184038  -0.18389   -0.183889  -0.174678  -0.174676  -0.174648  -0.174645  -0.169912  -0.16987   -0.16979   -0.169753  -0.167523  -0.167514  -0.167251  -0.167245  -0.166517  -0.166506  -0.165675  -0.165673  -0.164617  -0.164587  -0.164375  -0.164361  -0.162625  -0.162621  -0.162618  -0.162602  -0.159839  -0.158872  -0.158858  -0.158679  -0.158599  -0.158588  -0.158208  -0.158206  -0.158177  -0.156165  -0.156162  -0.156145  -0.156127  -0.155572  -0.154996  -0.154891  -0.154857  -0.154413  -0.154357  -0.153679  -0.15359   -0.153447  -0.153085  -0.153064  -0.152807  -0.15258   -0.15236   -0.152153  -0.152123  -0.151977  -0.151894  -0.151721  -0.150873  -0.150267  -0.150226  -0.148713  -0.148671  -0.148653  -0.148602  -0.148598  -0.14809   -0.147878  -0.147431  -0.147309  -0.147017  -0.146876  -0.146531  -0.146404  -0.146395  -0.145518  -0.145375  -0.145166  -0.145111  -0.145107  -0.145097  -0.144722  -0.144098  -0.143775  -0.14375   -0.142998  -0.142855  -0.14269   -0.142522  -0.14233   -0.141823  -0.141488  -0.141361  -0.141256  -0.141029  -0.140952  -0.14095   -0.140853  -0.140769  -0.140542  -0.140035  -0.139915  -0.139911  -0.139844  -0.139836  -0.139633  -0.139547  -0.139234  -0.138652  -0.138514  -0.138502  -0.138469  -0.138441  -0.138417  -0.138415  -0.138277  -0.13823   -0.137681  -0.13721   -0.137088  -0.137026  -0.136919  -0.136871  -0.135552  -0.135492  -0.135378  -0.13527   -0.135211  -0.134552  -0.13446   -0.133163  -0.132958  -0.132851  -0.132756  -0.132048  -0.132028  -0.13202   -0.131989  -0.131309  -0.13129   -0.131112  -0.131112  -0.130242  -0.130241  -0.12933   -0.129315  -0.129193  -0.129176  -0.128376  -0.12802   -0.128005  -0.127784  -0.126482  -0.126478  -0.126432  -0.12643   -0.123539  -0.123521  -0.123503   -0.123498   -0.122504   -0.122502   -0.122476   -0.122475   -0.121441   -0.12144    -0.121206   -0.121206   -0.118891   -0.118886   -0.118881   -0.118879   -0.115775   -0.115773   -0.115773   -0.115771   -0.11389    -0.113887   -0.113874   -0.113873   -0.111721   -0.111721   -0.110317   -0.110316   -0.110292   -0.110291   -0.104569   -0.104569   -0.104556   -0.104556   -0.0945411  -0.0945411  -0.0945225  -0.0945225  -0.0770329   -0.0770329
 19  -0.199867  -0.199867  -0.18353   -0.18353   -0.183323  -0.183322  -0.174258  -0.174257  -0.174207  -0.174205  -0.169311  -0.169278  -0.169209  -0.16918   -0.167392  -0.167389  -0.166725  -0.166716  -0.165816  -0.165803  -0.164821  -0.16482   -0.16373   -0.163707  -0.163431  -0.163422  -0.161888  -0.161885  -0.161871  -0.161852  -0.159565  -0.159204  -0.159194  -0.158405  -0.158379  -0.158175  -0.15811   -0.158077  -0.157692  -0.155545  -0.155502  -0.15549   -0.155478  -0.155461  -0.155014  -0.155014  -0.155004  -0.154515  -0.154476  -0.153633  -0.153555  -0.153446  -0.153014  -0.153012  -0.152769  -0.152529  -0.152293  -0.15198   -0.151944  -0.151838  -0.151708  -0.151543  -0.1508    -0.150654  -0.150529  -0.148597  -0.148559  -0.148504  -0.148488  -0.148466  -0.148033  -0.147962  -0.14773   -0.147484  -0.147034  -0.146932  -0.146683  -0.146592  -0.14646   -0.145484  -0.145423  -0.145178  -0.145137  -0.145096  -0.144971  -0.144808  -0.144073  -0.143753  -0.143658  -0.143144  -0.142862  -0.142651  -0.14258   -0.14224   -0.141835  -0.141519  -0.141436  -0.141301  -0.140982  -0.140955  -0.140833  -0.14079   -0.140694  -0.140512  -0.140001  -0.139916  -0.139908  -0.139848  -0.139745  -0.139562  -0.139402  -0.139184  -0.138601  -0.138527  -0.138517  -0.138499  -0.138478  -0.138352  -0.138334  -0.138199  -0.138082  -0.137607  -0.137113  -0.136967  -0.136875  -0.136803  -0.136742  -0.13554   -0.135376  -0.135245  -0.134992  -0.134915  -0.134343  -0.134297  -0.133205  -0.132993  -0.132879  -0.132749  -0.132294  -0.132267  -0.132258  -0.132234  -0.131352  -0.131318  -0.131202  -0.131187  -0.129947  -0.129939  -0.1294    -0.129385  -0.129262  -0.129239  -0.128597  -0.128205  -0.128179  -0.127993  -0.126428  -0.126423  -0.12636   -0.126355  -0.124071  -0.124045  -0.124029   -0.124021   -0.123269   -0.123267   -0.123252   -0.123251   -0.12123    -0.12123    -0.121109   -0.121108   -0.119662   -0.119656   -0.119653   -0.119652   -0.116757   -0.116755   -0.116752   -0.11675    -0.114703   -0.114702   -0.114701   -0.114699   -0.111694   -0.111694   -0.110994   -0.110993   -0.110957   -0.110955   -0.105106   -0.105105   -0.105085   -0.105084   -0.095168   -0.095168   -0.0951474  -0.0951474  -0.0782893   -0.0782893
 20  -0.198736  -0.198736  -0.183035  -0.183035  -0.18277   -0.182769  -0.173855  -0.173855  -0.173781  -0.173779  -0.168751  -0.168728  -0.168667  -0.168648  -0.167488  -0.167487  -0.165984  -0.165974  -0.165169  -0.165154  -0.16402   -0.164019  -0.162911  -0.162894  -0.162543  -0.162537  -0.161202  -0.161201  -0.161171  -0.161147  -0.159506  -0.159479  -0.159306  -0.158563  -0.158542  -0.157722  -0.157685  -0.157617  -0.157217  -0.155501  -0.15517   -0.155167  -0.155006  -0.154911  -0.15486   -0.154846  -0.154841  -0.15457   -0.154567  -0.153583  -0.153518  -0.153446  -0.152957  -0.152944  -0.152732  -0.152476  -0.15223   -0.151813  -0.151759  -0.151697  -0.151515  -0.151362  -0.151017  -0.15099   -0.150498  -0.148555  -0.148423  -0.148411  -0.148356  -0.148328  -0.148172  -0.148042  -0.147801  -0.147617  -0.147108  -0.146901  -0.146805  -0.146768  -0.146523  -0.145494  -0.145449  -0.145163  -0.145151  -0.145061  -0.14491   -0.144804  -0.144109  -0.143759  -0.143506  -0.143277  -0.142868  -0.142631  -0.142625  -0.142181  -0.141879  -0.141548  -0.141511  -0.141338  -0.140955  -0.140928  -0.140822  -0.140627  -0.140602  -0.140485  -0.139988  -0.139921  -0.139902  -0.139855  -0.139661  -0.139503  -0.139301  -0.139175  -0.138598  -0.138568  -0.138567  -0.138545  -0.138483  -0.138301  -0.138247  -0.138171  -0.137787  -0.13751   -0.137006  -0.136845  -0.136768  -0.136703  -0.136583  -0.135552  -0.135293  -0.135287  -0.134635  -0.134562  -0.134152  -0.134141  -0.133267  -0.133073  -0.132959  -0.132816  -0.13252   -0.132457  -0.132453  -0.132409  -0.131431  -0.131383  -0.131294  -0.131256  -0.129665  -0.129644  -0.129463  -0.129436  -0.129331  -0.129296  -0.128787  -0.128386  -0.128315  -0.128183  -0.126381  -0.126375  -0.1263    -0.126293  -0.12456   -0.124527  -0.124513   -0.1245     -0.123997   -0.123994   -0.123985   -0.123982   -0.121045   -0.121044   -0.121036   -0.121034   -0.120382   -0.120376   -0.120375   -0.120373   -0.11767    -0.117669   -0.117664   -0.117661   -0.115462   -0.11546    -0.115458   -0.115455   -0.111702   -0.111702   -0.111623   -0.111622   -0.111574   -0.111572   -0.105622   -0.105622   -0.105593   -0.105593   -0.0958002  -0.0958002  -0.0957401  -0.0957401  -0.0794785   -0.0794785
